x,qx_pria,qx_wanita
0,0.009791,0.007880
1,0.002526,0.002096
2,0.001079,0.000900
3,0.000701,0.000580
4,0.000598,0.000489
5,0.000578,0.000470
6,0.000575,0.000469
7,0.000566,0.000465
8,0.000547,0.000454
9,0.000523,0.000440
10,0.000507,0.000432
11,0.000504,0.000437
12,0.000517,0.000452
13,0.000543,0.000473
14,0.000578,0.000498
15,0.000620,0.000527
16,0.000661,0.000558
17,0.000697,0.000590
18,0.000734,0.000628
19,0.000776,0.000673
20,0.000822,0.000720
21,0.000865,0.000767
22,0.000913,0.000815
23,0.000967,0.000866
24,0.001023,0.000918
25,0.001076,0.000967
26,0.001132,0.001017
27,0.001196,0.001073
28,0.001263,0.001129
29,0.001327,0.001181
30,0.001393,0.001234
31,0.001468,0.001292
32,0.001549,0.001354
33,0.001632,0.001417
34,0.001728,0.001489
35,0.001846,0.001578
36,0.001981,0.001682
37,0.002123,0.001793
38,0.002282,0.001917
39,0.002468,0.002065
40,0.002681,0.002233
41,0.002911,0.002418
42,0.003171,0.002631
43,0.003475,0.002881
44,0.003816,0.003161
45,0.004182,0.003458
46,0.004590,0.003791
47,0.005064,0.004176
48,0.005611,0.004610
49,0.006223,0.005079
50,0.006927,0.005598
51,0.007738,0.006179
52,0.008626,0.006796
53,0.009534,0.007411
54,0.010457,0.008042
55,0.011404,0.008711
56,0.012364,0.009402
57,0.013315,0.010081
58,0.014309,0.010777
59,0.015405,0.011524
60,0.016604,0.012311
61,0.017867,0.013102
62,0.019201,0.013903
63,0.020585,0.014711
64,0.021962,0.015496
65,0.023274,0.016229
66,0.024568,0.016951
67,0.025899,0.017697
68,0.027284,0.018466
69,0.028732,0.019257
70,0.030301,0.020115
71,0.032002,0.021067
72,0.033755,0.022084
73,0.035455,0.023111
74,0.037098,0.024162
75,0.038713,0.025266
76,0.040318,0.026431
77,0.041931,0.027660
78,0.043665,0.029022
79,0.045679,0.030617
80,0.048105,0.032506
81,0.051056,0.034703
82,0.054637,0.037204
83,0.058904,0.039987
84,0.063869,0.043043
85,0.069532,0.046397
86,0.075921,0.050129
87,0.083101,0.054368
88,0.091181,0.059270
89,0.100295,0.065021
90,0.110590,0.071820
91,0.122198,0.079865
92,0.135220,0.089331
93,0.149714,0.100354
94,0.165699,0.113024
95,0.183166,0.127397
96,0.202084,0.143499
97,0.222408,0.161346
98,0.244075,0.180955
99,0.267009,0.202353
100,0.291119,0.225572
101,0.316297,0.250649
102,0.342423,0.277614
103,0.369364,0.306485
104,0.396967,0.337265
105,0.425069,0.369940
106,0.453489,0.404473
107,0.482033,0.440808
108,0.510493,0.478863
109,0.538649,0.518532
110,0.566271,0.559684
111,1.000000,1.000000
